상가업소번호,가게명,리뷰 개수,긍정 리뷰 개수,부정 리뷰 개수,긍정 리뷰 비율,부정 리뷰 비율
MA010120220802929059,지니네컵밥,224,224,0,100.0,0.0
MA010120220809408624,독립문설렁탕,180,169,11,93.9,6.1
MA010120220806851648,플라페,178,176,2,98.9,1.1
3318,탈리,167,165,2,98.8,1.2
MA010120220812266399,천궁전마라탕,142,142,0,100.0,0.0
MA010120220814279612,기꾸스시,135,131,4,97.0,3.0
MA010120220814145908,마더린러 베이글,131,126,5,96.2,3.8
MA010120220807413424,영미김밥,124,122,2,98.4,1.6
MA010120220800626353,형제갈비,121,113,8,93.4,6.6
MA010120220809791149,투썸플레이스 이대역점,121,114,7,94.2,5.8
MA010120220800625157,잠바주스 연세세브란스점,119,111,8,93.3,6.7
MA010120220814100801,커피크레페본점,115,115,0,100.0,0.0
3311,김진환 제과점,110,110,0,100.0,0.0
MA0101202210A0088461,매머드익스프레스 신촌점,108,107,1,99.1,0.9
MA010120220812685290,팔공티 신촌점,108,106,2,98.1,1.9
MA010120220812161279,메가MGC커피 창천점,108,106,2,98.1,1.9
MA010120220800626412,고르드,104,102,2,98.1,1.9
MA010120220812109602,왓츠 유얼 컬러,104,103,1,99.0,1.0
MA010120220811793802,맘스터치 이대점,103,101,2,98.1,1.9
MA0101202211A0090992,대끼리 돈까스,101,101,0,100.0,0.0
MA0101202209A0071725,메가MGC커피 신촌로터리점,100,100,0,100.0,0.0
MA010120220812242194,포가레 신촌점,99,99,0,100.0,0.0
MA010120220814207268,타오마라탕 신촌점,98,98,0,100.0,0.0
MA010120220805206695,코쿤캅,96,80,16,83.3,16.7
MA010120220814048829,포베이 연세암병원점,96,85,11,88.5,11.5
MA010120220809620673,보승회관 서울신촌점,94,92,2,97.9,2.1
MA010120220814302419,빽다방 신촌역점,93,89,4,95.7,4.3
MA0101202211A0011669,역전우동0410 신촌점,91,91,0,100.0,0.0
MA010120220812815107,파리바게뜨 카페이대역점,87,82,5,94.3,5.7
MA010120220805511562,팔공티 이대점,84,83,1,98.8,1.2
MA010120220800600409,아마스빈 이대점,82,82,0,100.0,0.0
3332,미분당 홍대점,81,81,0,100.0,0.0
MA010120220800600549,이디야커피 신촌역점,80,78,2,97.5,2.5
MA010120220800590701,이삭토스트 서울신촌점,80,78,2,97.5,2.5
MA010120220807432876,사장님돈까스 이화여대점,80,80,0,100.0,0.0
MA010120220800593680,돈우마미,79,79,0,100.0,0.0
MA010120220804615661,백년당 마라탕 본점,78,78,0,100.0,0.0
MA010120220800603549,소신이쏘 신촌본점,78,78,0,100.0,0.0
MA010120220800632499,고향전주비빔밥 현대백화점신촌점,78,75,3,96.2,3.8
