호텔,리뷰 개수,긍정 리뷰 개수,부정 리뷰 개수,긍정 리뷰 비율,부정 리뷰 비율
디저트샵 이브흐,1,1,0,100.0,0.0
플로루스,1,1,0,100.0,0.0
수퍼파인,1,1,0,100.0,0.0
강산애,1,1,0,100.0,0.0
산타비,1,1,0,100.0,0.0
예체능,1,1,0,100.0,0.0
햅윗버터,1,1,0,100.0,0.0
포크라이언 커피,1,1,0,100.0,0.0
잭아저씨족발&보쌈 홍대점,1,1,0,100.0,0.0
훼드라,1,1,0,100.0,0.0
the Panini,1,1,0,100.0,0.0
항아리분식,1,1,0,100.0,0.0
일품92하우스,1,1,0,100.0,0.0
세븐레드 홀덤펍 신촌점,1,1,0,100.0,0.0
순살만공격 마포신촌점,1,1,0,100.0,0.0
베리베리솔티,1,1,0,100.0,0.0
쿠리야,1,1,0,100.0,0.0
허니꼬꼬,1,1,0,100.0,0.0
카페달빛,1,1,0,100.0,0.0
처갓집양념치킨 신촌점,1,1,0,100.0,0.0
로프트,1,1,0,100.0,0.0
카시타 후카바 신촌점,1,1,0,100.0,0.0
책다방 위숨,1,1,0,100.0,0.0
카페 지니,1,1,0,100.0,0.0
서변동 마늘 떡볶이,1,1,0,100.0,0.0
레인트리,1,1,0,100.0,0.0
카페 시크릿,1,1,0,100.0,0.0
"육회, 꽃피다",1,1,0,100.0,0.0
후쿠스시,1,1,0,100.0,0.0
다모토리5,1,1,0,100.0,0.0
이 세계는 놀이터예요,1,1,0,100.0,0.0
까미네 닭강정,1,1,0,100.0,0.0
커피콩즙,1,1,0,100.0,0.0
고향,1,1,0,100.0,0.0
