상가업소번호,가게명,리뷰 개수,긍정 리뷰 개수,부정 리뷰 개수,긍정 리뷰 비율,부정 리뷰 비율
MA010120220810322514,bd버거 성수,262,252,10,96.2,3.8
MA010120220810356689,캐스터네츠 서울숲점,179,172,7,96.1,3.9
MA010120220804819197,문츠 바베큐,163,157,6,96.3,3.7
MA010120220811289347,밥밥디라라 뚝섬역점,148,147,1,99.3,0.7
MA010120220807114222,고집132 성수본점,142,139,3,97.9,2.1
MA010120220809232373,"여기 런던 Here, london",132,132,0,100.0,0.0
MA010120220808786901,오프트,130,127,3,97.7,2.3
MA010120220807721711,성수온실,121,120,1,99.2,0.8
MA010120220812264577,보마켓 서울숲점,115,110,5,95.7,4.3
MA010120220806599695,오우드 성수1호점,113,105,8,92.9,7.1
MA010120220803588777,파머스카페,112,107,5,95.5,4.5
MA010120220807012300,크림라벨 서울숲 본점,105,103,2,98.1,1.9
MA010120220813012834,성수옥아궁지 성수본점,103,102,1,99.0,1.0
MA010120220812688027,망티커피 성수점,101,95,6,94.1,5.9
MA010120220805413720,인치스,96,95,1,99.0,1.0
MA010120220807766997,메종 파이프그라운드,93,88,5,94.6,5.4
MA010120220810408707,메가MGC커피 서울숲역점,91,77,14,84.6,15.4
MA010120220805221379,로우커피스탠드,91,89,2,97.8,2.2
MA010120220805022129,권식족발 성수본점,89,89,0,100.0,0.0
MA010120220809778726,노가리마켓 서울숲,85,79,6,92.9,7.1
MA010120220806706775,후라토식당 성수점,85,83,2,97.6,2.4
MA010120220809708157,테디스오븐,84,79,5,94.0,6.0
MA010120220803018148,성수삐딱,82,66,16,80.5,19.5
MA010120220810104525,세디치,82,81,1,98.8,1.2
MA010120220805803862,로우키,81,78,3,96.3,3.7
MA010120220806566931,페이퍼 플레이트,81,81,0,100.0,0.0
MA010120220807132447,팔각도 성수역점,81,80,1,98.8,1.2
MA010120220806968029,앤드밀 성수점,81,79,2,97.5,2.5
MA010120220812304908,연남토마 성수점,79,75,4,94.9,5.1
MA010120220800996321,다포케 성수점,79,73,6,92.4,7.6
MA010120220806574106,다운타우너 성수 피치스,78,77,1,98.7,1.3
MA010120220803730359,대성갈비,78,70,8,89.7,10.3
MA010120220808469580,구아바,77,75,2,97.4,2.6
MA0101202302A0106902,뚝도농원,77,65,12,84.4,15.6
MA010120220813886161,맘스터치 성수역점,76,66,10,86.8,13.2
2235,천상가옥,76,73,3,96.1,3.9
MA010120220812852251,노모어피자 서울숲점,75,74,1,98.7,1.3
MA010120220810057496,미도인 성수,75,69,6,92.0,8.0
MA010120220804906820,엘더버거,75,70,5,93.3,6.7
MA010120220810103049,밸런스포케 서울숲점,75,74,1,98.7,1.3
MA010120220810152964,아울림,73,71,2,97.3,2.7
MA010120220808296156,성수김밥 퍼니텅,73,73,0,100.0,0.0
MA010120220811865429,쿠나,73,72,1,98.6,1.4
MA010120220812216822,이오로비스트로,73,70,3,95.9,4.1
MA010120220808540486,미아논나,73,71,2,97.3,2.7
