호텔,리뷰 개수,긍정 리뷰 개수,부정 리뷰 개수,긍정 리뷰 비율,부정 리뷰 비율
피터팬돈까스,7,7,0,100.0,0.0
르살롱오,7,7,0,100.0,0.0
뚝시돈,7,7,0,100.0,0.0
커피사피엔스 성수우림점,7,7,0,100.0,0.0
더다미,7,5,2,71.4,28.6
아이아이알,7,5,2,71.4,28.6
우리집밥,7,6,1,85.7,14.3
둘둘치킨 뚝섬점,7,7,0,100.0,0.0
pvglab,7,7,0,100.0,0.0
명동할머니국수 성수카페거리점,7,6,1,85.7,14.3
파라디,7,7,0,100.0,0.0
햄찌와베찌 뚝섬점,7,7,0,100.0,0.0
꼬꼬누리 성수이마트점,7,7,0,100.0,0.0
알디파트너스투자1호,7,6,1,85.7,14.3
쵸리상경,6,6,0,100.0,0.0
성수부엌,6,5,1,83.3,16.7
커피식탁,6,6,0,100.0,0.0
행닭바베큐통닭,6,6,0,100.0,0.0
유향소,6,6,0,100.0,0.0
큐씨오,6,6,0,100.0,0.0
뚝도지기,6,5,1,83.3,16.7
본도시락 성수점,6,6,0,100.0,0.0
제주올레포차 2호점,6,6,0,100.0,0.0
잇덴굿 성수점,6,6,0,100.0,0.0
파파존스 성수점,6,6,0,100.0,0.0
연탄구이집,6,6,0,100.0,0.0
참참치킨 성수점,6,6,0,100.0,0.0
비놈,6,6,0,100.0,0.0
에바스,6,6,0,100.0,0.0
서후와규,6,6,0,100.0,0.0
원조장충왕족발,6,6,0,100.0,0.0
압구정샌드위치 성수점,6,6,0,100.0,0.0
얼큰이왕냉면,6,6,0,100.0,0.0
성수손칼국수,6,6,0,100.0,0.0
옛날순대국밥,6,6,0,100.0,0.0
아웃오브타임,6,6,0,100.0,0.0
소시맥분,6,5,1,83.3,16.7
밀향기,6,6,0,100.0,0.0
뚝섬해물탕,6,6,0,100.0,0.0
우영푸드빌,6,6,0,100.0,0.0
푸라닭 성수2가점,6,6,0,100.0,0.0
소나무커피,6,5,1,83.3,16.7
엘라,6,6,0,100.0,0.0
맛보래,6,6,0,100.0,0.0
동신식당,6,5,1,83.3,16.7
넘버파이브,6,6,0,100.0,0.0
병천순대국 성수점,6,6,0,100.0,0.0
동강,6,5,1,83.3,16.7
수칼국수,6,6,0,100.0,0.0
뚝섬생고기,6,5,1,83.3,16.7
야페,6,6,0,100.0,0.0
오카보카,6,6,0,100.0,0.0
복식커피,6,6,0,100.0,0.0
하남돼지집 성수역점,6,6,0,100.0,0.0
성수골목,6,6,0,100.0,0.0
목로정원,6,6,0,100.0,0.0
대흥정육식당,6,5,1,83.3,16.7
그룬트,6,6,0,100.0,0.0
가내수공업고깃집,6,6,0,100.0,0.0
성수망치버거,6,5,1,83.3,16.7
커피덕후,6,6,0,100.0,0.0
per week,6,6,0,100.0,0.0
성수동골룸 서울숲 해산물 포장마차,6,6,0,100.0,0.0
페이지스,5,5,0,100.0,0.0
대돈집,5,5,0,100.0,0.0
성수족발,5,4,1,80.0,20.0
오프비트,5,5,0,100.0,0.0
레이어57 카페,5,5,0,100.0,0.0
알파카페,5,5,0,100.0,0.0
신성웰빙족발,5,5,0,100.0,0.0
인덱스카라멜,5,5,0,100.0,0.0
큰맘할매순대국 성수동점,5,5,0,100.0,0.0
뺌치킨,5,4,1,80.0,20.0
화로양미,5,5,0,100.0,0.0
황소미가,5,5,0,100.0,0.0
혜성분식,5,5,0,100.0,0.0
먹을만회,5,5,0,100.0,0.0
모루타루,5,4,1,80.0,20.0
제스티살룬성수,5,5,0,100.0,0.0
데이앤데이 뚝섬역점,5,5,0,100.0,0.0
청수먹거리,5,5,0,100.0,0.0
하이엔드라이,5,5,0,100.0,0.0
더킹돈 뚝섬점,5,5,0,100.0,0.0
장흥식당,5,5,0,100.0,0.0
심마니약초백숙,5,5,0,100.0,0.0
탕 김치찌개,5,5,0,100.0,0.0
잔치국수아줌마,5,5,0,100.0,0.0
베러로스팅랩&쇼룸,5,5,0,100.0,0.0
성수동꽈배기 로고스타,5,5,0,100.0,0.0
유메이규,5,4,1,80.0,20.0
삼선회사랑 뚝섬점,5,5,0,100.0,0.0
하루나,5,5,0,100.0,0.0
칠성옻닭,5,4,1,80.0,20.0
가마솥추어탕,5,5,0,100.0,0.0
시골가마솥삼겹살 성수점,5,4,1,80.0,20.0
물레방아민물매운탕,5,5,0,100.0,0.0
쿠켄치킨호프 성수점,5,4,1,80.0,20.0
벤투스커피 메가박스성수점,5,5,0,100.0,0.0
93밀리언마일즈,5,4,1,80.0,20.0
시장설렁탕,5,5,0,100.0,0.0
옴시롱 감시롱 순대국,5,4,1,80.0,20.0
음악창고 LP BAR,5,5,0,100.0,0.0
Cafe B&S,5,5,0,100.0,0.0
다담,5,5,0,100.0,0.0
넌 꼬막 난 육회,5,5,0,100.0,0.0
플라이팬커피 뚝섬점,5,5,0,100.0,0.0
싱싱횟집,5,4,1,80.0,20.0
에그마카슈 성수,5,5,0,100.0,0.0
솔솥성수점,4,3,1,75.0,25.0
디스코커피,4,4,0,100.0,0.0
오므오트,4,4,0,100.0,0.0
동호마을명태코다리,4,4,0,100.0,0.0
전주집,4,4,0,100.0,0.0
먼치스앤구디스,4,4,0,100.0,0.0
내추럴,4,4,0,100.0,0.0
이오커피로스터스,4,4,0,100.0,0.0
Salad No.6,4,4,0,100.0,0.0
중국관,4,4,0,100.0,0.0
CAFE FLARES,4,4,0,100.0,0.0
이지더즈잇,4,4,0,100.0,0.0
백야드빌더성수,4,4,0,100.0,0.0
로우커피스탠드 성수점,4,2,2,50.0,50.0
부경,4,4,0,100.0,0.0
별미식당,4,4,0,100.0,0.0
두남자의개수작,4,4,0,100.0,0.0
등심집,4,4,0,100.0,0.0
그린웰빙한식부페,4,4,0,100.0,0.0
시치미,4,3,1,75.0,25.0
도믹스,4,3,1,75.0,25.0
윤식당 한식뷔페,4,4,0,100.0,0.0
성수 팍스부대찌개 본점,4,4,0,100.0,0.0
모므로살롱,4,4,0,100.0,0.0
삼천만활어횟집,4,4,0,100.0,0.0
천수곱창,4,3,1,75.0,25.0
행운호프,4,4,0,100.0,0.0
커피코코,4,4,0,100.0,0.0
뚝도리보신탕,4,4,0,100.0,0.0
서산식당,4,3,1,75.0,25.0
투달러스커피,4,4,0,100.0,0.0
대성정,4,4,0,100.0,0.0
코코호도 성수점,4,4,0,100.0,0.0
레드이즈미,4,4,0,100.0,0.0
카페온유,4,4,0,100.0,0.0
피에스비 커피바,4,4,0,100.0,0.0
와인바킥,4,4,0,100.0,0.0
진수성찬한식뷔페,4,4,0,100.0,0.0
씨씨씨,4,4,0,100.0,0.0
논스톱샌드위치,4,4,0,100.0,0.0
원샷치킨,4,3,1,75.0,25.0
화랑직화구이,4,4,0,100.0,0.0
성수낙지,4,4,0,100.0,0.0
성수불타는곱창,4,4,0,100.0,0.0
투다리 뚝섬점,4,4,0,100.0,0.0
스시라온,4,4,0,100.0,0.0
내고향정육점식당,4,4,0,100.0,0.0
플록스,4,4,0,100.0,0.0
또와,4,4,0,100.0,0.0
앙심품은도야지,4,4,0,100.0,0.0
정참치,4,4,0,100.0,0.0
테이블 소사이어티 클럽,4,3,1,75.0,25.0
더블하이트 갤러리카페,4,4,0,100.0,0.0
BBQ치킨 성수3점,4,4,0,100.0,0.0
BHC치킨 성수역점,4,4,0,100.0,0.0
일정,4,4,0,100.0,0.0
빨간마초닭발 성수점,4,3,1,75.0,25.0
여기가좋겠네,4,4,0,100.0,0.0
피자파는집 서울성수점,4,4,0,100.0,0.0
YENA,4,2,2,50.0,50.0
마스,4,3,1,75.0,25.0
춘천닭갈비낙지철판,4,4,0,100.0,0.0
야끼도리정,4,3,1,75.0,25.0
한돈급냉삼겹살,4,4,0,100.0,0.0
성수뚝배기,4,4,0,100.0,0.0
아뜰리에 드 라 크레페,4,4,0,100.0,0.0
맥문동호프,3,3,0,100.0,0.0
맛부,3,3,0,100.0,0.0
태백집 성수점,3,3,0,100.0,0.0
유진참치,3,3,0,100.0,0.0
크레송,3,3,0,100.0,0.0
송가,3,3,0,100.0,0.0
박가객주,3,3,0,100.0,0.0
조리,3,3,0,100.0,0.0
남매칼국수,3,3,0,100.0,0.0
더키더키,3,2,1,66.7,33.3
밤토리,3,3,0,100.0,0.0
키보우 라멘,3,3,0,100.0,0.0
소적두 성수점,3,3,0,100.0,0.0
회현집,3,3,0,100.0,0.0
100회,3,3,0,100.0,0.0
미사랑,3,3,0,100.0,0.0
달님이네,3,3,0,100.0,0.0
담바골,3,3,0,100.0,0.0
카페크라비,3,3,0,100.0,0.0
둘둘치킨 성수1호점,3,2,1,66.7,33.3
카페일로,3,3,0,100.0,0.0
삼미냉면칼국수,3,2,1,66.7,33.3
성수스타우트,3,3,0,100.0,0.0
토프레소 성수우림점,3,3,0,100.0,0.0
릴레이션 카페,3,3,0,100.0,0.0
대박낙소 성수점,3,3,0,100.0,0.0
송계옥성수점,3,2,1,66.7,33.3
탕가네,3,3,0,100.0,0.0
LOWIDE,3,2,1,66.7,33.3
야곱293,3,3,0,100.0,0.0
세이버앤페이버,3,3,0,100.0,0.0
카페 알렛츠,3,3,0,100.0,0.0
현영이네,3,2,1,66.7,33.3
INDICA,3,3,0,100.0,0.0
제이엠,3,3,0,100.0,0.0
88켄터키 성수점,3,2,1,66.7,33.3
이삭토스트 성수2가점,3,3,0,100.0,0.0
찐미 숯불구이,3,3,0,100.0,0.0
최가네부대찌개,3,3,0,100.0,0.0
성수동양갈비,3,3,0,100.0,0.0
잇쇼우,3,3,0,100.0,0.0
dyscoffee,3,3,0,100.0,0.0
퀴바라,3,3,0,100.0,0.0
LAZZO,3,3,0,100.0,0.0
백리향중화요리,3,3,0,100.0,0.0
엑스익스프레스 성수낙낙점,3,3,0,100.0,0.0
미정이네식당,3,3,0,100.0,0.0
성수명당,3,3,0,100.0,0.0
브로벨커피,3,2,1,66.7,33.3
어촌횟집,3,3,0,100.0,0.0
모이크,3,3,0,100.0,0.0
미정이네코다리찜,3,3,0,100.0,0.0
파주부대찌개,3,3,0,100.0,0.0
리퀴드랩,3,3,0,100.0,0.0
스몰글라스,3,2,1,66.7,33.3
철규네분식,3,3,0,100.0,0.0
레타주,3,3,0,100.0,0.0
꽈배기에 반한 치킨 성수점,3,3,0,100.0,0.0
amado,2,2,0,100.0,0.0
카페온화 본사,2,2,0,100.0,0.0
뚝도수산,2,2,0,100.0,0.0
차만다서울숲점,2,2,0,100.0,0.0
영구스피자 성수점,2,2,0,100.0,0.0
한세희복집,2,2,0,100.0,0.0
훈이네,2,2,0,100.0,0.0
한남양옥 성수,2,2,0,100.0,0.0
뚝섬삼겹,2,2,0,100.0,0.0
백두대간 성수점,2,2,0,100.0,0.0
카나비스트릿,2,2,0,100.0,0.0
성수펍,2,2,0,100.0,0.0
제주뒷고기,2,2,0,100.0,0.0
센터커피,2,2,0,100.0,0.0
어랑횟집,2,2,0,100.0,0.0
소바짐,2,2,0,100.0,0.0
Kompakt Record Bar ver3,2,2,0,100.0,0.0
어썸브로시스,2,2,0,100.0,0.0
유니드카페,2,2,0,100.0,0.0
부덕관,2,2,0,100.0,0.0
성수숯불갈비,2,2,0,100.0,0.0
지수언니,2,2,0,100.0,0.0
피자스쿨 성수점,2,1,1,50.0,50.0
돼지맘,2,1,1,50.0,50.0
더블핸스테이크 서울숲점,2,2,0,100.0,0.0
더퍼즈,2,2,0,100.0,0.0
카페 마렐,2,2,0,100.0,0.0
바위파스타바 성수,2,2,0,100.0,0.0
쁘띠그랑,2,2,0,100.0,0.0
바탕,2,2,0,100.0,0.0
비스트로 앤드투투,2,2,0,100.0,0.0
모호인,2,2,0,100.0,0.0
지코바치킨 성수1호점,2,2,0,100.0,0.0
호남식당,2,2,0,100.0,0.0
라성키친,2,2,0,100.0,0.0
청진동해장국 성수점,2,2,0,100.0,0.0
쥬씨 성수IT점,2,2,0,100.0,0.0
제이앤제이펍,2,2,0,100.0,0.0
카페 메이,2,1,1,50.0,50.0
참숯나라갈비마을,2,2,0,100.0,0.0
밀도,2,1,1,50.0,50.0
글램 바,2,2,0,100.0,0.0
영계소문 옛날통닭,2,2,0,100.0,0.0
서울로인서울숲점,2,2,0,100.0,0.0
숙영이네,2,2,0,100.0,0.0
진미식당,2,2,0,100.0,0.0
문화식당,2,2,0,100.0,0.0
해리커피,2,2,0,100.0,0.0
서울앵무새,2,1,1,50.0,50.0
돼지네생삼겹살,2,2,0,100.0,0.0
몽련,2,2,0,100.0,0.0
중앙감속기,2,2,0,100.0,0.0
뚝도국수집,2,2,0,100.0,0.0
을지로골뱅이,2,2,0,100.0,0.0
한낮의밤,2,2,0,100.0,0.0
성수다락,2,2,0,100.0,0.0
종가빈대떡,2,2,0,100.0,0.0
황기닭한마리,2,2,0,100.0,0.0
카페리빈 성수점,2,2,0,100.0,0.0
봄의정원성수점,2,2,0,100.0,0.0
씨에이크,2,1,1,50.0,50.0
굴국밥현이네,2,2,0,100.0,0.0
화양리우동집,2,2,0,100.0,0.0
메종드마가레뜨,2,2,0,100.0,0.0
장위동유성집 성동점,1,1,0,100.0,0.0
우봉산수정,1,1,0,100.0,0.0
색다른면,1,1,0,100.0,0.0
호호식당,1,1,0,100.0,0.0
장안식당,1,1,0,100.0,0.0
대림창고,1,0,1,0.0,100.0
버거점프,1,1,0,100.0,0.0
완산골콩나물국밥,1,1,0,100.0,0.0
할아버지공장,1,1,0,100.0,0.0
십삼동,1,1,0,100.0,0.0
파치비 성수점,1,0,1,0.0,100.0
Naked Coffee,1,1,0,100.0,0.0
블루보틀성수점,1,1,0,100.0,0.0
RIN HOUSE,1,1,0,100.0,0.0
이야기가있는밥집,1,1,0,100.0,0.0
코끼리베이글성수,1,1,0,100.0,0.0
메이플탑,1,1,0,100.0,0.0
5to7,1,1,0,100.0,0.0
경수식당,1,1,0,100.0,0.0
우동가조쿠 성수점,1,1,0,100.0,0.0
윕성수,1,1,0,100.0,0.0
성수베이킹스튜디오,1,1,0,100.0,0.0
에르제,1,1,0,100.0,0.0
진작다이닝,1,1,0,100.0,0.0
멜로워,1,1,0,100.0,0.0
스트로베리32,1,1,0,100.0,0.0
소랑호젠,1,1,0,100.0,0.0
비사벌전주콩나물국밥,1,1,0,100.0,0.0
루덴스파트너스,1,1,0,100.0,0.0
코사이어티 서울숲,1,1,0,100.0,0.0
우오보파스타바,1,1,0,100.0,0.0
세스크멘슬,1,1,0,100.0,0.0
난포,1,1,0,100.0,0.0
온량,1,1,0,100.0,0.0
꽃나리분식,1,1,0,100.0,0.0
쓰리오브어스,1,1,0,100.0,0.0
어니언성수점,1,1,0,100.0,0.0
뿐또블루,1,1,0,100.0,0.0
인생낙곱새 성수점,1,1,0,100.0,0.0
광주식당,1,1,0,100.0,0.0
뵈르니,1,1,0,100.0,0.0
마포숫불갈비,1,1,0,100.0,0.0
Dii,1,1,0,100.0,0.0
시골옻닭,1,0,1,0.0,100.0
라일락,1,1,0,100.0,0.0
김사부코다리,1,1,0,100.0,0.0
배떡 성수점,1,1,0,100.0,0.0
삼삼이네생고기 성수점,1,1,0,100.0,0.0
초원,1,1,0,100.0,0.0
써니,1,1,0,100.0,0.0
또와포차,1,1,0,100.0,0.0
성수꼬마,1,1,0,100.0,0.0
지성식당,1,1,0,100.0,0.0
시골밥상,1,1,0,100.0,0.0
제비집,1,1,0,100.0,0.0
푸른바다횟집,1,1,0,100.0,0.0
양과자점 라보엠,1,1,0,100.0,0.0
낙타커피로스터스,1,1,0,100.0,0.0
락지,1,1,0,100.0,0.0
서래,1,1,0,100.0,0.0
뚝방생고기,1,1,0,100.0,0.0
백억포차,1,1,0,100.0,0.0
국동푸드 참엔고기,1,1,0,100.0,0.0
강남빈대떡,1,1,0,100.0,0.0
오늘도못참치,1,1,0,100.0,0.0
성수소파,1,1,0,100.0,0.0
민물집,1,1,0,100.0,0.0
제일,1,1,0,100.0,0.0
온더,1,1,0,100.0,0.0
카페오라,1,1,0,100.0,0.0
광순네식당,1,1,0,100.0,0.0
너랑나랑 콩나물국밥삼겹살,1,1,0,100.0,0.0
썬카페,1,1,0,100.0,0.0
울보분식,1,1,0,100.0,0.0
딤플맥주양주,1,1,0,100.0,0.0
슈퍼오리,1,1,0,100.0,0.0
앵무새루이스,1,0,1,0.0,100.0
금돼지,1,1,0,100.0,0.0
엄마네냄비밥,1,1,0,100.0,0.0
꾸이한끼 성수점,1,1,0,100.0,0.0
정든집,1,1,0,100.0,0.0
도슨트 성수,1,1,0,100.0,0.0
명인갈비 성수점,1,1,0,100.0,0.0
민티베리,1,1,0,100.0,0.0
스시모리,1,1,0,100.0,0.0
남경관,1,1,0,100.0,0.0
형제갈비,1,1,0,100.0,0.0
행복한 곱창,1,1,0,100.0,0.0
메모레,1,1,0,100.0,0.0
맛집이모네,1,1,0,100.0,0.0
오가네숯불곰장어,1,1,0,100.0,0.0
조디악,1,1,0,100.0,0.0
한강,1,1,0,100.0,0.0
성연순대국&족발,1,1,0,100.0,0.0
카페수다,1,1,0,100.0,0.0
두꺼비집,1,1,0,100.0,0.0
부성식당,1,1,0,100.0,0.0
성공is100,1,1,0,100.0,0.0
생태한마리,1,1,0,100.0,0.0
무등산닭한마리,1,1,0,100.0,0.0
전사랑,1,1,0,100.0,0.0
알천 성동본점,1,1,0,100.0,0.0
삼미식당,1,1,0,100.0,0.0
영동식당,1,1,0,100.0,0.0
55주막,1,1,0,100.0,0.0
